"pokemon_species_id","identifier","ja_hrkt","ja_roma","ko","zh_hant","fr","de","es","it","en","ja","zh_hans"
"1","bulbasaur","たねポケモン",,"씨앗포켓몬","種子寶可夢","Pokémon Graine","Samen-Pokémon","Pokémon Semilla","Pokémon Seme","Seed Pokémon","たねポケモン","种子宝可梦"
"2","ivysaur","たねポケモン",,"씨앗포켓몬","種子寶可夢","Pokémon Graine","Samen-Pokémon","Pokémon Semilla","Pokémon Seme","Seed Pokémon","たねポケモン","种子宝可梦"
"3","venusaur","たねポケモン",,"씨앗포켓몬","種子寶可夢","Pokémon Graine","Samen-Pokémon","Pokémon Semilla","Pokémon Seme","Seed Pokémon","たねポケモン","种子宝可梦"
"4","charmander","とかげポケモン",,"도롱뇽포켓몬","蜥蜴寶可夢","Pokémon Lézard","Echsen-Pokémon","Pokémon Lagartija","Pokémon Lucertola","Lizard Pokémon","とかげポケモン","蜥蜴宝可梦"
"5","charmeleon","かえんポケモン",,"화염포켓몬","火焰寶可夢","Pokémon Flamme","Flammen-Pokémon","Pokémon Llama","Pokémon Fiamma","Flame Pokémon","かえんポケモン","火焰宝可梦"
"6","charizard","かえんポケモン",,"화염포켓몬","火焰寶可夢","Pokémon Flamme","Flammen-Pokémon","Pokémon Llama","Pokémon Fiamma","Flame Pokémon","かえんポケモン","火焰宝可梦"
"7","squirtle","かめのこポケモン",,"꼬마거북포켓몬","小龜寶可夢","Pokémon Minitortue","Minikröten-Pokémon","Pokémon Tortuguita","Pokémon Tartaghina","Tiny Turtle Pokémon","かめのこポケモン","小龟宝可梦"
"8","wartortle","かめポケモン",,"거북포켓몬","龜寶可夢","Pokémon Tortue","Kröten-Pokémon","Pokémon Tortuga","Pokémon Tartaruga","Turtle Pokémon","かめポケモン","龟宝可梦"
"9","blastoise","こうらポケモン",,"껍질포켓몬","甲殼寶可夢","Pokémon Carapace","Panzertier-Pokémon","Pokémon Armazón","Pokémon Crostaceo","Shellfish Pokémon","こうらポケモン","甲壳宝可梦"
"10","caterpie","いもむしポケモン",,"애벌레포켓몬","蟲寶寶寶可夢","Pokémon Ver","Wurm-Pokémon","Pokémon Gusano","Pokémon Baco","Worm Pokémon","いもむしポケモン","虫宝宝宝可梦"
"11","metapod","さなぎポケモン",,"번데기포켓몬","蛹寶可夢","Pokémon Cocon","Kokon-Pokémon","Pokémon Capullo","Pokémon Bozzolo","Cocoon Pokémon","さなぎポケモン","蛹宝可梦"
"12","butterfree","ちょうちょポケモン",,"나비포켓몬","蝴蝶寶可夢","Pokémon Papillon","Falter-Pokémon","Pokémon Mariposa","Pokémon Farfalla","Butterfly Pokémon","ちょうちょポケモン","蝴蝶宝可梦"
"13","weedle","けむしポケモン",,"송충이포켓몬","毛毛蟲寶可夢","Pokémon Insectopic","Raupe","Pokémon Oruga","Pokémon Millepiedi","Hairy Bug Pokémon","けむしポケモン","毛毛虫宝可梦"
"14","kakuna","さなぎポケモン",,"번데기포켓몬","蛹寶可夢","Pokémon Cocon","Kokon","Pokémon Capullo","Pokémon Bozzolo","Cocoon Pokémon","さなぎポケモン","蛹宝可梦"
"15","beedrill","どくばちポケモン",,"독벌포켓몬","毒蜂寶可夢","Pokémon Guêpoison","Giftbiene","Pokémon Abeja Veneno","Pokémon Velenape","Poison Bee Pokémon","どくばちポケモン","毒蜂宝可梦"
"16","pidgey","ことりポケモン",,"아기새포켓몬","小鳥寶可夢","Pokémon Minoiseau","Kleinvogel","Pokémon Pajarito","Pokémon Uccellino","Tiny Bird Pokémon","ことりポケモン","小鸟宝可梦"
"17","pidgeotto","とりポケモン",,"새포켓몬","鳥寶可夢","Pokémon Oiseau","Vogel","Pokémon Pájaro","Pokémon Uccello","Bird Pokémon","とりポケモン","鸟宝可梦"
"18","pidgeot","とりポケモン",,"새포켓몬","鳥寶可夢","Pokémon Oiseau","Vogel","Pokémon Pájaro","Pokémon Uccello","Bird Pokémon","とりポケモン","鸟宝可梦"
"19","rattata","ねずみポケモン",,"쥐포켓몬","鼠寶可夢","Pokémon Souris","Maus","Pokémon Ratón","Pokémon Topo","Mouse Pokémon","ねずみポケモン","鼠宝可梦"
"20","raticate","ねずみポケモン",,"쥐포켓몬","鼠寶可夢","Pokémon Souris","Maus","Pokémon Ratón","Pokémon Topo","Mouse Pokémon","ねずみポケモン","鼠宝可梦"
"21","spearow","ことりポケモン",,"아기새포켓몬","小鳥寶可夢","Pokémon Minoiseau","Kleinvogel","Pokémon Pajarito","Pokémon Uccellino","Tiny Bird Pokémon","ことりポケモン","小鸟宝可梦"
"22","fearow","くちばしポケモン",,"부리포켓몬","鳥嘴寶可夢","Pokémon Bec-Oiseau","Pickvogel","Pokémon Pico","Pokémon Becco","Beak Pokémon","くちばしポケモン","鸟嘴宝可梦"
