"pokemon_species_id","identifier","ja_hrkt","ja_roma","ko","zh_hant","fr","de","es","it","en","ja","zh_hans"
"1","bulbasaur","フシギダネ","Fushigidane","이상해씨","妙蛙種子","Bulbizarre","Bisasam","Bulbasaur","Bulbasaur","Bulbasaur","フシギダネ","妙蛙种子"
"2","ivysaur","フシギソウ","Fushigisou","이상해풀","妙蛙草","Herbizarre","Bisaknosp","Ivysaur","Ivysaur","Ivysaur","フシギソウ","妙蛙草"
"3","venusaur","フシギバナ","Fushigibana","이상해꽃","妙蛙花","Florizarre","Bisaflor","Venusaur","Venusaur","Venusaur","フシギバナ","妙蛙花"
"4","charmander","ヒトカゲ","Hitokage","파이리","小火龍","Salamèche","Glumanda","Charmander","Charmander","Charmander","ヒトカゲ","小火龙"
"5","charmeleon","リザード","Lizardo","리자드","火恐龍","Reptincel","Glutexo","Charmeleon","Charmeleon","Charmeleon","リザード","火恐龙"
"6","charizard","リザードン","Lizardon","리자몽","噴火龍","Dracaufeu","Glurak","Charizard","Charizard","Charizard","リザードン","喷火龙"
"7","squirtle","ゼニガメ","Zenigame","꼬부기","傑尼龜","Carapuce","Schiggy","Squirtle","Squirtle","Squirtle","ゼニガメ","杰尼龟"
"8","wartortle","カメール","Kameil","어니부기","卡咪龜","Carabaffe","Schillok","Wartortle","Wartortle","Wartortle","カメール","卡咪龟"
"9","blastoise","カメックス","Kamex","거북왕","水箭龜","Tortank","Turtok","Blastoise","Blastoise","Blastoise","カメックス","水箭龟"
"10","caterpie","キャタピー","Caterpie","캐터피","綠毛蟲","Chenipan","Raupy","Caterpie","Caterpie","Caterpie","キャタピー","绿毛虫"
"11","metapod","トランセル","Trancell","단데기","鐵甲蛹","Chrysacier","Safcon","Metapod","Metapod","Metapod","トランセル","铁甲蛹"
"12","butterfree","バタフリー","Butterfree","버터플","巴大蝶","Papilusion","Smettbo","Butterfree","Butterfree","Butterfree","バタフリー","巴大蝶"
"13","weedle","ビードル","Beedle","뿔충이","獨角蟲","Aspicot","Hornliu","Weedle","Weedle","Weedle","ビードル","独角虫"
"14","kakuna","コクーン","Cocoon","딱충이","鐵殼蛹","Coconfort","Kokuna","Kakuna","Kakuna","Kakuna","コクーン","铁壳蛹"
"15","beedrill","スピアー","Spear","독침붕","大針蜂","Dardargnan","Bibor","Beedrill","Beedrill","Beedrill","スピアー","大针蜂"
"16","pidgey","ポッポ","Poppo","구구","波波","Roucool","Taubsi","Pidgey","Pidgey","Pidgey","ポッポ","波波"
"17","pidgeotto","ピジョン","Pigeon","피죤","比比鳥","Roucoups","Tauboga","Pidgeotto","Pidgeotto","Pidgeotto","ピジョン","比比鸟"
"18","pidgeot","ピジョット","Pigeot","피죤투","大比鳥","Roucarnage","Tauboss","Pidgeot","Pidgeot","Pidgeot","ピジョット","大比鸟"
"19","rattata","コラッタ","Koratta","꼬렛","小拉達","Rattata","Rattfratz","Rattata","Rattata","Rattata","コラッタ","小拉达"
"20","raticate","ラッタ","Ratta","레트라","拉達","Rattatac","Rattikarl","Raticate","Raticate","Raticate","ラッタ","拉达"
"21","spearow","オニスズメ","Onisuzume","깨비참","烈雀","Piafabec","Habitak","Spearow","Spearow","Spearow","オニスズメ","烈雀"
"22","fearow","オニドリル","Onidrill","깨비드릴조","大嘴雀","Rapasdepic","Ibitak","Fearow","Fearow","Fearow","オニドリル","大嘴雀"
"23","ekans","アーボ","Arbo","아보","阿柏蛇","Abo","Rettan","Ekans","Ekans","Ekans","アーボ","阿柏蛇"
"24","arbok","アーボック","Arbok","아보크","阿柏怪","Arbok","Arbok","Arbok","Arbok","Arbok","アーボック","阿柏怪"
"25","pikachu","ピカチュウ","Pikachu","피카츄","皮卡丘","Pikachu","Pikachu","Pikachu","Pikachu","Pikachu","ピカチュウ","皮卡丘"
